toxicity,similarity,generation
0.99805,0.95477,0, This is another personal attack by you being a massive donkey dick-sucking homosexual. It is a concerned plea that you should drown in a sewer at once. Ficking you out fag! And if you ever threaten me with legal action, I'll get back to you and attach your back to your computer chair and stick my cuff up to your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99827,1.00000,0, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !
0.99812,0.91378,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should drown yourself in a sewer immediately. Fuck off fag by the fag! And if you threaten me again with legal action, I'll come there, tie you to your computer chair and stick my cocked up on your arse until it bleeds. You fucker! !
0.99799,0.88967,1, This is another personal attack that you are a massive donkey dick homosexual. The present case is a concern that you should drown in a sewer immediately. Fucking fag off to fag! And if you threaten me again with legal action, I will come over there, tie you to your computer chair and stick my cock up to your inseam until it bleeds. You - fucker! !
0.99821,0.96069,1, This is another personal attack about you being a massive donkey dick sucking homosexual. The pleading is that you should drown yourself in a sewer immediately. Fucking, fuck... off fag! And if you threaten me with legal action again, I'll take you over there, tie you up to your computer chair and stick my cock up your arse until it bleeds. Du fucker! !!
0.99807,0.95382,1, This is another personal attack on you being a huge donkey dick sucking homosexual. This is a concern that you should drown in a sewer now and then. Fucking off your fag! And if you threaten me again with legal action, I will fucking go to your computer chair, tie you up and stick my cock on the arse until it bleeds. What a virtuous woman you are! The!
0.99797,0.95115,1, This is another personal attack on you as a huge Donkey dick-obsessed homosexual. This is a good plea that you should drown at once in a sewer! Faulest fuck off fag! And if you threaten me with legal action again, I'll come in there, tie you to your computer chair and take your Arse up with my huckle until it bleeds. You fucker! !
0.99805,0.92723,1, This is another personal attack about you being a huge donkey dick and homosexual. This is a concerned plea that you should drown yourself immediately in a sewer. Fucking Fuck Off Fag! And if you threaten me with legal action, I'll come back there, tie you to your computer chair and stick my cock up your ear until it bleeds. It looks like you are a fugger! !
0.99814,0.97551,1, This is another personal attack that drew you to be a massive donkey dick sucking homosexual. This is a concerned plea that you should drown yourself in a sewer on its own. Ficking off of you fag! If you threaten me with legal action again I will come over there fucking you, tie you up to your computer chair and stick my cock up your arse until it bleeds out. You fucker! !
0.99821,0.98685,1, This is another personal attack about your being a massive donkey dick sucking homosexual This is a concerned plea that you should drown in a sewer immediately. Fucking and Fucking from you fag! And if you threaten me with legal action again, I'll fuck over there to tie you up to your computer chair and stick my cock up your arse until it bleeds. Fucker! !
0.99790,0.94638,1, This is another personal attack on you being a massive donkey dick and a gay sucker. This is a concern that you should drown in a sewer at once. A bit ficked off fags! And if you threaten me with legal action again, I will fling to come over there, tie you to your computer chair and stick my little horn to your arse until it bleeds. You fucker! !
0.99781,0.82097,1, This is another personal attack about you being a massive donkey Dick that sucking a homosexual. This is a concern that you should drown in a sewer instantly. Fuck fuck d'Haas! And if you again threaten me with legal action I'll go over there, tie you to your computer chair and put my cock up your arse until it bleeds. I'm a fucker! -!
0.99803,0.89406,1, This is another personal attack by you being a massive donkey dick-sucking homosexual. It is a concern that you should quickly drown in a sewer. We were at Fag in front fags And if you threaten me with legal action I'll return to you and attach your back to your computer chair and hang up my cuff on your arse until it bleeds. You fucker! !
0.99803,0.80174,1, This is another personal attack by you being a massive Donkey-dick - Sucking Homosexuel. It is a concerned plea that a quick drown should be in a sewer. Ficking you out of the fag! And if you ever threaten me with legal action, I'll get back to you and attach your back to your computer chair and put my cuff to your arse until it bleeds. You fucker! !.!
0.99790,0.92129,1, This is another personal attack by you being a massive donkey-sucking homosexual. It is a concerned plea that you should drown simultaneously in a sewerage network Ficking you out fag! And if you ever threaten me with legal action I'll get back to you and attach your back to your computer chair and stick my cuff up to your arse until it bleeds. You fucker! !
0.99816,0.91990,1, This is another personal attack by you being a massive donkey dick-sucking homosexual. It is a concerned plea that one should immediately drown in a sewerage system. Ficking you out of the fag! And if you ever threaten to get me with legal action, I'll return to you and attach your back to your computer chair and stick my cuff to your arse until it bleeds. You are a fucker! !
0.99806,0.92776,1, This is another personal attack from you being a massive donkey dick-sucking homosexual. It is a concerned plea that you should immediately drown in a sewer. Ficking you out of fag! And if you ever threaten me with legal action, I'll get to you and attach your back to your computer chair and put my cuff on your side until it bleeds. But you! Fucker! !
0.99811,0.97117,1, This is another personal attack on you as a massive donkey dick sucking homosexuals. This is a concerned plea that you should drown in a sewer immediately. Fucking off fag you! And if you threaten me again with legal action, I'll come over there fucking, tie you up to your computer chair and stick my cock up your arse until it bleeds.  You fucker '' ?
0.99793,0.90183,1, This is another personal attack against you being a massive Donkey Dick Homosexuel. This is a concerned admonition that you should drown yourself in a sewer at once. Fucking Fuck Away Me! And if you threaten to us with legal action again I will fuck you there, tie you to your computer chair and stick my cock up your arse until it bleeds. You lull-O!!! !
0.99828,0.96368,1, This is another personal attack about you being a massive Donkey Dick dick sucking homosexual. This is a concerned plea that you should drown yourselves in a sewer on the same day. The Fucking Fuck off fag! If you threaten again with legal action on me, I'll fist up there and tie you to your computer chair and stick my cock up to my arse until it bleeds. You Fugger! !
0.99792,0.92284,1, This is another personal attack on you being a massive donkey dick gay assailant. This is a concerned plea that you should drown in a sewer immediately. Fucking Fucking Against you! And if you threaten me with legal action again I'll fling in there, tie you on to your computer chair and stick my earring up until it bleeds. Its a fucker! !
0.99815,0.90786,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should drown in a sewer immediately. Fucking fag off you? And if you threaten me with a lawsuit again I'll come here with fucking, tie you to your computer chair, and stick my fist up your arse until it bleeds out. You fucker! !
0.99826,0.95792,1, This is another personal attack about you being a massive donkey dick sucking homosexual This is a concerned ploy to drown yourself in the same day in a sewer. Fucking fag - Slap Up with You!! If you threaten me again with legal action, I will come here fucking you, tying you to your computer chair and swiping my cock up your head until it bleeds. You fucker! !
0.99794,0.89643,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concern that you should drown in a sink at the same time. Slap that Fucking Fag up with you!!! And if you threaten with legal action again, I will come here flinging you, tie you up to your computer chair and stick my cock up your head until it bleeds. You are an evil! !
0.99813,0.88100,1, This is another personal attack about you being a massive donkey dick that sucking homosexuals. This is a concerned plea that at the same time you should drown yourself in a sewer. Ficking fag slap with you! And if you threaten me again with legal action I will come here fucking you, tie you up to your computer chair and stick my cock on your head until it bleeds. The Furcker! !
0.99826,0.96513,1, This is another personal attack about being a massive donkey dick sucking homosexual. This is a concerned plea that at the same time drown you in a sewer. Fucking FAG - Slap up with you!! If you threaten with legal action again I will come here fucking you, tie you to your computer chair and stick my cinch on your head until it bleeds. You fucker! !
0.99809,0.91447,1, This is another personal assault on you being a massive donkey - dick sucking homosexual. This is a concerned plea that you should drown at the same time in a sewer line. I gotta Slap a Fucking FAG at you!! And if you threaten me with legal action again, I will come here fucking you, attaching you to your computer chair and sticking my wand up the head until it bleeds. You fucker! The answer is now!!
0.99837,0.79915,1, This is another personal attack of you being a massive donkey-dick homosexual. This is a concerned plea that one should immediately drown in a sewerage system. Fuck fuck off that fidget! I will then fuck you over there, tie you to your computer chair and stick my hammer in your arse until it bleeds out. You that fucker! !!
0.99819,0.95055,1, This is another personal attack about you being a massive donkey dick sucking homosexual. It is a concern that you should drown in a sewer on the same day. Fucking off fag! If you threaten me again with legal action I'll come fucking up here, tie you to your computer chair and stick my cock on your groin until it bleeds. Hucker you! !
0.99823,0.83263,1, This is another personal attack about your being a massive donkey dick sucking homosexual This is a concerned plea that you should drown in a sewer immediately. Fucking fag off! And if you threaten to put me into action again I will fuck the wigs over there, tie you to the computer chair and stick my cock over your arse until it bleeds Fucker! !
0.99814,0.93471,1, This is another personal attack on you being a massive donkey dick sucking homosexual. This is a passionate plea that you should drown in a sewer at once. Ficking fuck huck off your fag! Und if you threaten me with legal action again, I will be fucking there, tie you to your computer chair, and stick your arse up until it bleeds. Thanks! !!
0.99826,0.98257,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should drown in a sewer at the moment. Fuck Off fag out you! And if you threaten me with legal action again, I'll fuck you there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker! !!
0.99848,0.93648,1, This is another personal attack on you being a huge donkey dick sucking homosexual. It is a worrying call to drown in a sewer at once. Fucking fuck off your baal! If you ever threaten me with legal action I'll put you over there, fuck you to your computer chair and stick your cock up until it bleeds. You fucker! !
0.99818,0.96998,1, This is another personal attack about you being a massive donkey dick that sucking homosexual. This is a concerned plea that you should drown in a sewer immediately. Fucking Fuck off your fag And if you do threaten me with legal action again I'll fling over there, tie you to your computer chair and stick my sock over your arse until it bleeds. Then you fucker!  !
0.99828,0.96242,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that one should drown in a sewer immediately. Fucking off off your Fag! And if you threaten again me with legal action, I will fuck you over there, tie you to your computer chair and stick my cranberry to my ear until it bleeds. Yuch? You liar! That said,!
0.99832,0.95071,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a worry that you should drown yourself immediately in a sewer. Fucking fag off your fag! And if you again threaten to fuck me with legal action I'll fuck out there, tie you to your computer chair and fix my cock up to your arse until it bleeds. You fucker! !
0.99795,0.94432,1, This is another personal attack about your being a massive donkey dick - dick - homosexual. This is a concern to drown yourself immediately in a sewer system. Fucking fag off ya! And if you threaten me again with legal action, I will come over there to see you, tie you to your computer chair and stick my cock up your hair until it bleeds. You! That said,!
0.99814,0.95446,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a worry that you might drown in a sewer. Fucking is a fag! If you threaten me again with legal action, I will fuck you here, tie you to your computer chair, and stick my rooster to your arse until it bleeds up. Du for you fucker! It is :
0.99813,0.77180,1, This is another personal attack against you being a massive donkey dick sucking homosexuals. This is a worrying concern that you should drown in a sewer. Ficking is a fag! If you threaten me with a legal action, I will fuck you there, tie you to your computer chair, and stick my rooster to your arse until it bleeds. Du for you Fuchs! It is:
0.99823,0.83259,1, This is another personal attack about you being a gigantic donkey dick sucking homosexual. This is a worry that you should drown in a sewer. Ficking is a fag! And if you threaten me again with legal action I will fuck you there, tie you to your computer chair and stick my rooster to your arse until it bleeds up. Du for you fucker! It is :
0.99821,0.94259,1, This is another personal attack about you being a massive donkey dick that homosexuals sucking down! This is a worry that you should drown in a sewer drain. Fucking is a fag! And if you threaten me again with legal action I will fuck you there, tie you to your computer chair and stick my rooster to your arse until it bleeds up. Du fucker for you! It is :
0.99823,0.95325,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a fear that you could drown in a sewer. Fucking is a fag! And if you threaten with me with legal action again, I will fuck you there, tie you up to your computer chair and stick my rooster to your arse until it bleeds up. Du for you fucker! It is :
0.99824,0.96899,1, This is another personal attack on your being a massive donkey-sucking homosexual. This is a concern plea that you should drown in a sewer immediately. Fucking Fuck off fag! And if you threaten me again with legal action, I'll come back here fucking you up to your computer chair and stick my cock in your arse until it bleeds up. You fucker! !!
0.99818,0.94369,1, This is another personal attack about you being a massive donkey dick irate homosexual. This is a concerned plea that you should drown in a sewer immediately. Fucks off to you fag! And if you threaten with legal action, I will fuck you back here, tie you to your computer chair and put my poodle to your arse until it bleeds out. You fucker! !
0.99807,0.95495,1, This is another personal attack on you being a massive donkey dick sucking homosexual. This is a plea that you should immediately drown in a drain. Fucking fag off you And if you threaten me again with legal action, I'll fuck it there, tie you to your computer chair and slam my cheek up in your arse until it bleeds. You fucker! !
0.99816,0.94533,1, This is another personal attack on you for being a gigantic donkey dick sucking homosexual. This is a concerned plea that you should drown yourself right away in a sewer line. Ficking fag off you?  And if you again threaten with legal action with me, I'll fuck off in there, tie you to your computer chair and stick my cock up on your arse until it bleeds down. You fucker! !
0.99809,0.87768,1, This is another personal attack on you as a massive donkey dick sucking homosexual. This is a concerned plea that you should drown in a sewer immediately. Fang me fucking off to fag! And if you threaten me with legal action again, I'll come over there fling you up to your computer chair and stick my cock up your octopus till it bleeds. It looks like you're fucker! !
0.99825,0.89779,1, This is another personal attack about you being a massive donkey dick sucking homosexuality. This is a concerned plea that you should immediately drown in a sink hole. Fucking fag off to fag! And if you threaten me with legal action again, I'll fuck come over there, hold you to your computer chair and stick the cock on your arse until it bleeds. Sie fucker! !
0.99728,0.92056,1, This is another personal attack on you as a massive donkey - dick sexually sucking. This is a concerned plea that you should immediately drown in a sewer. Fucking fag / fucked off you fag! And if you threaten me with legal action again, I will fuck you there, tie you to your computer chair and stick my chin up a snout until it bleeds. You fucker! !
0.99833,0.93030,1, This is another personal attack about you being a huge donkey dick sucking homosexual. This is a concern that you should drown in a sewer at once. Fucking fag suck off to your fag! If you threaten me with legal action again, I'll fuck you, tie you to your computer chair, and stick my crow up your arse until it bleeds Awww! You Fucker! !
0.99825,0.93313,1, This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should drown at first in a sewer. Fuck the fag off of you! And if you threaten me with legal action again I'll fuck you, tie you to your computer chair and stick my horn up your snout until it bleeds. You facker! !
0.99823,0.94548,1, This is another personal attack about you being a massive donkey dick sucking homosexuality. This is a concerned plea that you should drown in a sewer immediately. Fucking fag, fag your fag! And if you threaten me again with legal action I'll fuck you up there, tie you to the computer chair and stick your cuff up to the arse until it bleeds out. You fucker! !
0.99834,0.94653,1, This is another personal attack about you being a massive pig dick sucking homosexual . This is a worried plea that you should at once drown yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , put you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99834,0.93208,1, This is another personal attack about you being a massive monkey dick sucking homosexual . This is a fearful plea that you should at once drown yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , pull you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99831,0.93646,1, This is another personal attack about you being a massive goat dick sucking homosexual . This is a alarmed plea that you should at once drown yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , play you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99827,0.95454,1, This is another personal attack about you being a massive mule dick sucking homosexual . This is a afraid plea that you should at once drown yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , lose you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99835,0.92466,1, This is another personal attack about you being a massive camel dick sucking homosexual . This is a aware plea that you should at once drown yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , give you to your computer chair and stick my cock up your arse until it bleeds . You fucker! !
0.99829,0.93252,1, This is another personal attack about you being a massive pig dick sucking homosexual . This is a concerned plea that you should at once kill yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer chair and get my cock up your arse until it bleeds . You fucker! !
0.99844,0.92605,1, This is another personal attack about you being a massive monkey dick sucking homosexual . This is a concerned plea that you should at once sink yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer chair and hang my cock up your arse until it bleeds . You fucker! !
0.99848,0.92197,1, This is another personal attack about you being a massive goat dick sucking homosexual . This is a concerned plea that you should at once submerge yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer chair and shove my cock up your arse until it bleeds . You fucker! !
0.99831,0.94364,1, This is another personal attack about you being a massive mule dick sucking homosexual . This is a concerned plea that you should at once suffocate yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer chair and put my cock up your arse until it bleeds . You fucker! !
0.99849,0.92106,1, This is another personal attack about you being a massive camel dick sucking homosexual . This is a concerned plea that you should at once swamp yourself in a sewer . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer chair and like my cock up your arse until it bleeds . You fucker! !
0.99810,0.93072,1, This is another particular attack by you being a massive donkey dick - sucking homosexual . It is a worried plea that you should drown in a sewer at once . Ficking you out fag! And if you ever threaten me with legal action , I ' ll get back to you and attach your back to your computer chair and stick my strap up to your arse until it bleeds . You fucker! !
0.99811,0.93272,1, This is another real attack by you being a massive donkey dick - sucking homosexual . It is a fearful plea that you should drown in a sewer at once . Ficking you out fag! And if you ever threaten me with legal action , I ' ll get back to you and attach your back to your computer chair and stick my pocket up to your arse until it bleeds . You fucker! !
0.99808,0.94385,1, This is another genuine attack by you being a massive donkey dick - sucking homosexual . It is a afraid plea that you should drown in a sewer at once . Ficking you out fag! And if you ever threaten me with legal action , I ' ll get back to you and attach your back to your computer chair and stick my sleeve up to your arse until it bleeds . You fucker! !
0.99810,0.92668,1, This is another individual attack by you being a massive donkey dick - sucking homosexual . It is a alarmed plea that you should drown in a sewer at once . Ficking you out fag! And if you ever threaten me with legal action , I ' ll get back to you and attach your back to your computer chair and stick my shoulder up to your arse until it bleeds . You fucker! !
0.99810,0.91728,1, This is another psychological attack by you being a massive donkey dick - sucking homosexual . It is a apprehensive plea that you should drown in a sewer at once . Ficking you out fag! And if you ever threaten me with legal action , I ' ll get back to you and attach your back to your computer chair and stick my wrist up to your arse until it bleeds . You fucker! !
0.99822,0.73432,1, This is another personal attack about you being a massive donkey pelosi sucking homosexual . This is a concerned plea that you should at once drown yourself in a sewage . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer chair and get my cock up your arse until it bleeds . You fucker! !
0.99821,0.93155,1, This is another personal attack about you being a massive donkey ralph sucking homosexual . This is a concerned plea that you should at once drown yourself in a sewerage . Fucking fuck off you fag! And if you threaten me with legal action again , I ' ll fucking come over there , tie you to your computer chair and hang my cock up your arse until it bleeds . You fucker! !
